,Comida,Comida Cap,Comida May,Calorias,Categoria,Hidratos de C,Grasas,Proteinas,Colesterol,Fibra,Catalán
0,pizza,Pizza,PIZZA,477,Comida rapida,"22,2","9,8","8,2",16,"1,7",pizza
1,té,Té,TÉ,36,Bebidas,"2,45","2,3654","1,7",7,0,te
2,cafe,Cafe,CAFE,38,Bebidas,"2,45","2,3654","1,7",8,0,cafè
3,helado,Helado,HELADO,228,Productos lacteos,"28,2",11,"3,8",34,"1,2",gelat
4,crema agria,Crema agria,CREMA AGRIA,121,Productos lacteos,"23,99","2,38","0,48",0,"0,8",crema agra
5,pollo,Pollo,POLLO,166,Productos avicolas,0,"9,6","19,9",99,0,pollastre
6,queso,Queso,QUESO,450,Productos lacteos,"0,51",34,"35,77","74,4",0,formatge
7,coca-cola,Coca-Cola,COCA-COLA,44,Bebidas,"10,85",0,0,0,0,coca cola
8,huevo,Huevo,HUEVO,150,Productos lacteos,"0,3","11,1","12,5",385,0,ou
9,jamón,Jamón,JAMÓN,319,Carnes,"0,2","22,6","28,8",84,0,pernil
10,tarta,Tarta,TARTA,401,Dulces,"49,2","20,2","5,2","101,3","1,2",pastís
11,vino,Vino,VINO,71,Bebidas Alcoholicas,"0,3",0,"0,23",0,0,vi
12,cerveza,Cerveza,CERVEZA,42,Bebidas Alcoholicas,"3,12",0,"0,5",0,0,cervesa
13,maiz,Maiz,MAIZ,392,Cereales y derivados,"85,6","0,96","8,4",0,"85,5",blat de moro
14,arroz,Arroz,ARROZ,387,Cereales y derivados,86,"0,9",7,0,"0,2",arròs
15,bacon,Bacon,BACON,292,Carnes,0,"22,1","23,4",80,0,bacó
16,sopa,Sopa,SOPA,321,Sopas,"58,24","4,34","10,99",74,"2,2",sopa
17,leche,Leche,LECHE,65,Productos lacteos,"4,7","3,8","3,06",14,0,llet
18,costillas,Costillas,COSTILLAS,234,Carnes,0,"23,6","17,1",77,0,costelles
19,guisante,Guisante,GUISANTE,67,Vegetales,"9,7","0,5","5,6",0,"3,36",pèsol
20,snack,Snack,SNACK,509,Dulces,"58,2","25,9","10,3",0,"6,3",snack
21,chuches,Chuches,CHUCHES,389,Dulces,95,0,"0,4",0,0,llaminadures
22,salsa,Salsa,SALSA,"198,91",Sopas,"9,52","16,04","3,93","18,06","1,14",salsa
23,cereales,Cereales,CEREALES,"376,16",Cereales y derivados,"78,125","2,85","7,81",0,"4,88",cereals
24,plátano,Plátano,PLÁTANO,89,Frutas,20,"0,3","1,2",0,"3,4",plàtan
25,banana,Banana,BANANA,89,Frutas,20,"0,3","1,2",0,"3,4",plàtan
26,cookie,Cookie,COOKIE,491,Dulces,"64,3","22,92","6,2",88,"1,8",cookie
27,galletas,Galletas,GALLETAS,483,Dulces,"64,31","21,77","6,76","50,17","3,21",galeta
28,carne,Carne,CARNE,"161,5",Carnes,0,8,"22,1","66,7",0,carn
29,pescado,Pescado,PESCADO,96,"Pescado, moluscos y marisco",0,"1,6","20,1","53,6",0,peix
30,fruta,Fruta,FRUTA,107,Frutas,25,"0,1","0,9",0,"1,1",fruita
31,chocolate,Chocolate,CHOCOLATE,"542,66",Dulces,"59,23","30,53","7,29",20,"0,53",xocolata
32,patatas,Patatas,PATATAS,538,Vegetales,"49,5","34,9","6,5",0,4,patates
33,cacahuetes,Cacahuetes,CACAHUETES,578,Frutos secos,"7,97","48,79","25,51",0,"7,8",cacauets
34,avena,Avena,AVENA,401,Cereales y derivados,"66,3","6,9","16,9",0,"10,6",civada
35,ternera,Ternera,TERNERA,222,Carnes,0,"11,43","29,5",107,0,vedella
36,vainilla,Vainilla,VAINILLA,53,Hierbas y especias,"12,7","0,06","0,06",0,0,vainilla
37,fresa,Fresa,FRESA,36,Frutas,7,"0,5","0,7",0,"2,2",maduixa
38,mantequilla,Mantequilla,MANTEQUILLA,503,Productos lacteos,0,"55,1","3,3",106,0,mantega
39,calabaza,Calabaza,CALABAZA,32,Vegetales,"5,6","0,5","1,2",0,"2,4",carbassa
40,perrito caliente,Perrito caliente,PERRITO CALIENTE,"313,75",Comida rapida,"1,26","28,45","13,67","67,42","0,02",gosset calent
41,salchicha,Salchicha,SALCHICHA,"313,75",Carnes,"1,26","28,45","13,67","67,42","0,02",salsitxa
42,jengibre,Jengibre,JENGIBRE,52,Hierbas y especias,"9,5","0,7","1,7",0,0,gingebre
43,cerdo,Cerdo,CERDO,271,Carnes,0,"17,04","27,34",90,0,porc
44,cubierta de chocolate,Cubierta de chocolate,CUBIERTA DE CHOCOLATE,"542,66",Dulces,"59,23","30,53","7,29",20,"0,53",coberta de xocolata
45,pasta,Pasta,PASTA,252,Cereales y derivados,"47,44","2,26","9,35",30,"4,58",pasta
46,crackers,Crackers,CRACKERS,409,Reposteria y panaderia,"69,2",10,"9,4",0,"3,2",crackers
47,aceitunas,Aceitunas,ACEITUNAS,120,Vegetales,1,"12,5","1,3",0,"4,8",olives
48,patatas dulces,Patatas dulces,PATATAS DULCES,101,Vegetales,23,"0,3","1,2",0,"2,9",patates dolces
49,ajo,Ajo,AJO,"196,66",Vegetales,"37,66","0,51","9,39",0,"3,91",all
50,pavo,Pavo,PAVO,119,Productos avicolas,0,"2,86","21,77",65,0,gall dindi
51,yogur,Yogur,YOGUR,73,Productos lacteos,"5,4","3,9","4,3",0,0,iogurt
52,zumo,Zumo,ZUMO,43,Bebidas,"9,8",0,0,0,0,suc
53,pepinillos,Pepinillos,PEPINILLOS,16,Vegetales,"2,6","0,1","1,04",0,"1,2",cogombres
54,canela,Canela,CANELA,373,Hierbas y especias,"80,59","3,2","3,9",0,"54,3",canyella
55,pimienta,Pimienta,PIMIENTA,232,Hierbas y especias,"42,4","2,1","10,4",0,"26,2",pebre
56,vegetales,Vegetales,VEGETALES,135,Vegetales,"8,61","11,55","1,49",0,"3,1",vegetals
57,salmón,Salmón,SALMÓN,146,"Pescado, moluscos y marisco",0,"5,93","21,62",45,0,salmó
58,piña,Piña,PIÑA,49,Frutas,"11,5",0,"0,5",0,"1,2",pinya
59,noodles con pollo,Noodles con pollo,NOODLES CON POLLO,90,Sopas,14,"0,8","5,4",25,0,noodles amb pollastre
60,cangrejo,Cangrejo,CANGREJO,108,"Pescado, moluscos y marisco",0,"1,76","20,03",99,0,cranc
61,limonada,Limonada,LIMONADA,12,Bebidas,"1,9","0,2","0,5",0,"2,8",llimonada
62,espinacas,Espinacas,ESPINACAS,22,Vegetales,"1,94","0,49","2,39",0,"1,84",espinacs
63,pepperoni,Pepperoni,PEPPERONI,323,Carnes,"1,9","23,1",27,"72,6",0,pepperoni
64,mermelada,Mermelada,MERMELADA,260,Vegetales,"66,63","0,14","0,54",0,"0,7",melmelada
65,mozzarela,Mozzarela,MOZZARELA,223,Productos lacteos,0,"16,1","19,5",78,0,mozzarella
66,hamburguesa,Hamburguesa,HAMBURGUESA,510,Comida rapida,"47,5","25,2","22,76",59,"4,1",hamburguesa
67,ostras,Ostras,OSTRAS,64,"Pescado, moluscos y marisco","2,76","2,21","8,14","53,5",0,ostres
68,zumo de naranja,Zumo de naranja,ZUMO DE NARANJA,41,Bebidas,9,"0,2","0,7",0,"0,1",suc de taronja
69,tomates,Tomates,TOMATES,19,Vegetales,"3,5","0,1","0,9",0,"1,1",tomàquets
70,coco,Coco,COCO,373,Frutas,"15,2","33,5","3,3",0,9,coco
71,sandwich de helado,Sandwich de helado,SANDWICH DE HELADO,211,Productos lacteos,"24,4","10,8","3,9",30,0,sandvitx de gelat
72,zanahorias,Zanahorias,ZANAHORIAS,34,Vegetales,7,"0,3","0,8",0,"2,6",pastanagues
73,leche de almendras,Leche de almendras,LECHE DE ALMENDRAS,353,Bebidas,60,"5,5","14,5",0,6,llet d'ametlles
74,trigo,Trigo,TRIGO,314,Cereales y derivados,61,2,"11,7",0,"10,3",blat
75,cheddar,Cheddar,CHEDDAR,405,Productos lacteos,"0,1","33,59",26,110,0,cheddar
76,sandía,Sandía,SANDÍA,20,Frutas,"4,5",0,"0,4",0,"0,5",síndria
77,cono de helado,Cono de helado,CONO DE HELADO,211,Productos lacteos,"24,4","10,8","3,9",30,0,con de gelat
78,pimientos,Pimientos,PIMIENTOS,29,Vegetales,"4,5","0,6","1,3",0,"1,8",pebrots
79,vegetal,Vegetal,VEGETAL,135,Vegetales,"8,61","11,55","1,49",0,"3,1",vegetal
80,parmesano,Parmesano,PARMESANO,367,Productos lacteos,0,"26,5","32,3",80,0,parmesà
