Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Abla,Municipio,Almería,1.723,1.663,1.501,1.459,1.235
Abrucena,Municipio,Almería,1.649,1.432,1.418,1.352,1.150
Adamuz,Municipio,Córdoba,4.380,4.528,4.330,4.416,4.185
Adra,Municipio,Almería,17.415,20.104,21.983,24.375,24.859
Agrón,Municipio,Granada,516,445,375,338,288
Aguadulce,Municipio,Sevilla,2.015,1.918,1.987,2.141,2.026
Aguilar de la Frontera,Municipio,Córdoba,12.605,13.114,13.421,13.670,13.438
Alájar,Municipio,Huelva,933,836,775,795,763
Alameda,Municipio,Málaga,4.464,4.804,4.982,5.481,5.366
Alamedilla,Municipio,Granada,1.329,1.045,888,693,599
Alanís,Municipio,Sevilla,2.278,2.125,2.008,1.859,1.746
Albaida del Aljarafe,Municipio,Sevilla,1.598,1.670,1.956,2.995,3.193
Albanchez,Municipio,Almería,1.003,682,618,745,753
Albanchez de Mágina,Municipio,Jaén,2.007,1.664,1.446,1.230,1.027
Alboloduy,Municipio,Almería,1.060,898,768,684,621
Albolote,Municipio,Granada,7.157,10.184,13.877,18.066,18.746
Albondón,Municipio,Granada,1.745,1.358,1.027,911,729
Albox,Municipio,Almería,10.113,10.010,9.795,10.885,11.696
Albuñán,Municipio,Granada,566,491,449,431,415
Albuñol,Municipio,Granada,5.530,5.336,5.784,6.610,7.128
Albuñuelas,Municipio,Granada,1.595,1.367,1.156,949,830
Alcalá de Guadaíra,Municipio,Sevilla,45.577,52.257,57.426,73.317,75.256
Alcalá de los Gazules,Municipio,Cádiz,5.913,5.598,5.735,5.525,5.242
Alcalá del Río,Municipio,Sevilla,8.965,9.039,9.042,11.484,11.927
Alcalá del Valle,Municipio,Cádiz,5.055,5.316,5.281,5.286,5.123
Alcalá la Real,Municipio,Jaén,20.802,21.090,21.296,22.722,21.708
Alcaracejos,Municipio,Córdoba,1.462,1.509,1.431,1.531,1.473
Alcaucín,Municipio,Málaga,1.483,1.391,1.540,2.646,2.239
Alcaudete,Municipio,Jaén,12.029,11.460,11.154,11.081,10.558
Alcolea,Municipio,Almería,1.511,1.241,923,911,814
Alcolea del Río,Municipio,Sevilla,3.253,3.386,3.338,3.410,3.387
Alcóntar,Municipio,Almería,774,629,611,624,528
Alcudia de Monteagud,Municipio,Almería,257,212,173,158,135
Aldeaquemada,Municipio,Jaén,691,576,576,543,501
Aldeire,Municipio,Granada,954,790,751,666,628
Alfacar,Municipio,Granada,2.992,3.576,4.627,5.521,5.378
Alfarnate,Municipio,Málaga,1.606,1.525,1.415,1.295,1.105
Alfarnatejo,Municipio,Málaga,435,435,412,513,394
Algámitas,Municipio,Sevilla,1.448,1.416,1.371,1.312,1.248
Algar,Municipio,Cádiz,2.033,1.864,1.712,1.500,1.413
Algarinejo,Municipio,Granada,5.791,5.276,4.020,3.060,2.591
Algarrobo,Municipio,Málaga,4.418,4.528,4.812,6.229,6.367
Algatocín,Municipio,Málaga,1.056,1.019,970,870,778
Algeciras,Municipio,Cádiz,85.390,101.256,101.468,117.695,121.414
Algodonales,Municipio,Cádiz,5.713,5.752,5.577,5.756,5.590
Alhabia,Municipio,Almería,909,774,673,686,648
Alhama de Almería,Municipio,Almería,3.023,3.050,3.199,3.841,3.615
Alhama de Granada,Municipio,Granada,6.069,6.023,6.012,6.225,5.980
Alhaurín de la Torre,Municipio,Málaga,7.622,12.874,23.369,37.020,39.911
Alhaurín el Grande,Municipio,Málaga,14.279,17.257,17.764,23.164,24.123
Alhendín,Municipio,Granada,3.124,3.674,4.578,7.580,9.168
Alicún,Municipio,Almería,244,236,237,268,212
Alicún de Ortega,Municipio,Granada,674,795,638,509,475
Aljaraque,Municipio,Huelva,4.497,6.753,12.026,19.468,21.054
Almáchar,Municipio,Málaga,2.115,2.010,1.928,1.892,1.802
Almadén de la Plata,Municipio,Sevilla,1.901,1.793,1.657,1.548,1.379
Almargen,Municipio,Málaga,2.395,2.239,2.111,2.160,1.984
Almedinilla,Municipio,Córdoba,2.554,2.591,2.549,2.508,2.409
Almegíjar,Municipio,Granada,625,460,387,414,346
Almensilla,Municipio,Sevilla,1.550,1.807,3.368,5.756,6.008
Almería,Municipio,Almería,140.745,155.120,166.328,189.680,196.851
Almócita,Municipio,Almería,248,182,166,190,176
Almodóvar del Río,Municipio,Córdoba,6.416,7.076,7.016,7.993,7.964
Almogía,Municipio,Málaga,4.328,3.862,4.201,4.081,3.770
Almonaster la Real,Municipio,Huelva,2.418,2.109,1.947,1.827,1.837
Almonte,Municipio,Huelva,12.970,16.164,17.827,22.243,24.013
Almuñécar,Municipio,Granada,16.390,20.408,21.420,26.969,26.377
Álora,Municipio,Málaga,12.369,13.168,12.363,13.273,12.951
Alosno,Municipio,Huelva,4.820,4.777,4.562,4.247,3.942
Alozaina,Municipio,Málaga,3.011,2.579,2.231,2.210,2.015
Alpandeire,Municipio,Málaga,376,337,307,276,252
Alpujarra de la Sierra,Municipio,Granada,1.606,1.320,1.153,1.140,978
Alquife,Municipio,Granada,1.420,1.150,896,729,624
Alsodux,Municipio,Almería,140,125,108,151,133
Andújar,Municipio,Jaén,35.475,36.661,36.455,38.813,37.113
Añora,Municipio,Córdoba,1.908,1.651,1.579,1.572,1.524
Antas,Municipio,Almería,2.408,2.514,2.965,3.261,3.169
Antequera (→ 2009: Villanueva de la Concepción),Municipio,Málaga,35.765,38.765,40.289,41.741,41.154
Aracena,Municipio,Huelva,6.155,6.503,6.831,7.821,8.040
Arahal,Municipio,Sevilla,16.179,17.717,18.365,19.490,19.565
Arboleas,Municipio,Almería,1.430,1.519,1.727,4.534,4.586
Árchez,Municipio,Málaga,428,333,353,456,391
Archidona,Municipio,Málaga,10.048,10.204,8.157,8.754,8.288
Arcos de la Frontera,Municipio,Cádiz,25.168,26.946,27.849,31.368,30.741
Ardales,Municipio,Málaga,3.009,3.201,2.664,2.607,2.493
Arenas,Municipio,Málaga,1.336,1.265,1.218,1.339,1.177
Arenas del Rey (→ 2015: Játar),Municipio,Granada,2.174,2.065,1.990,2.012,1.178
Arjona,Municipio,Jaén,6.335,5.492,5.698,5.745,5.595
Arjonilla,Municipio,Jaén,3.879,3.960,3.927,3.827,3.610
Armilla,Municipio,Granada,10.278,10.921,15.404,22.593,23.968
Armuña de Almanzora,Municipio,Almería,368,376,308,347,321
Aroche,Municipio,Huelva,4.048,3.593,3.419,3.251,3.109
Arquillos,Municipio,Jaén,1.749,1.703,1.911,1.961,1.767
Arriate,Municipio,Málaga,3.281,3.301,3.543,4.143,4.147
Arroyo del Ojanco,Municipio,Jaén,2.601,2.445,2.388,2.492,2.323
Arroyomolinos de León,Municipio,Huelva,1.263,1.242,1.114,1.041,965
Atajate,Municipio,Málaga,149,164,173,171,169
Atarfe,Municipio,Granada,8.993,10.008,11.151,16.790,18.554
Ayamonte,Municipio,Huelva,16.098,15.082,16.604,20.540,20.883
Aznalcázar,Municipio,Sevilla,2.873,3.196,3.473,4.234,4.495
Aznalcóllar,Municipio,Sevilla,5.179,5.571,5.809,6.118,6.092
Bacares,Municipio,Almería,395,313,284,286,232
Badolatosa,Municipio,Sevilla,2.907,3.029,3.176,3.204,3.094
Baena,Municipio,Córdoba,17.010,20.423,19.155,20.061,19.338
Baeza,Municipio,Jaén,15.036,15.064,15.091,16.446,15.902
Bailén,Municipio,Jaén,15.825,16.865,17.593,18.695,17.820
Balanegra (← Berja),Municipio,Almería,...,...,...,...,2.933
Baños de la Encina,Municipio,Jaén,3.072,2.740,2.686,2.706,2.611
Barbate,Municipio,Cádiz,20.806,21.641,21.815,22.904,22.551
Bayárcal,Municipio,Almería,526,389,341,377,284
Bayarque,Municipio,Almería,283,245,221,224,206
Baza,Municipio,Granada,20.896,20.519,21.808,21.276,20.519
Beas,Municipio,Huelva,3.857,4.072,4.130,4.376,4.236
Beas de Granada,Municipio,Granada,791,894,1.004,1.034,985
Beas de Guadix,Municipio,Granada,512,416,378,382,340
Beas de Segura,Municipio,Jaén,6.573,5.816,5.620,5.776,5.191
Bédar,Municipio,Almería,569,503,659,942,927
Bedmar y Garcíez,Municipio,Jaén,4.264,3.480,3.246,3.057,2.682
Begíjar,Municipio,Jaén,3.163,3.091,3.143,3.130,3.075
Beires,Municipio,Almería,207,151,137,115,117
Belalcázar,Municipio,Córdoba,4.372,4.143,3.680,3.480,3.273
Belmez,Municipio,Córdoba,4.505,4.348,3.695,3.205,2.964
Bélmez de la Moraleda,Municipio,Jaén,1.993,2.031,1.894,1.752,1.567
Benacazón,Municipio,Sevilla,4.300,4.753,5.150,6.962,7.177
Benadalid,Municipio,Málaga,300,255,278,250,225
Benahadux,Municipio,Almería,1.781,2.277,2.844,4.185,4.357
