,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
0,0,0,0,0,0,2019-04-19 19:19:19.000,1.11931958613717e+18,1.11931958613717e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}","Viernes Santo. Hoy no se come carne... 🍣 (@ Miss Sushi in Valencia, Comunidad Valenciana) https://t.co/QoNCh6a6C3",Manu,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,"['carne', 'Sushi']",223.75,29.9,8.42,26.4,69.7,0.8,"['Carnes', 'Pescado, moluscos y marisco']",male,Neutral
1,1,1,1,1,1,2019-04-19 19:20:15.000,1.1193198196969882e+18,1.1193198196969882e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","La niña perdida de valencia, mi amiga la de las patatas, te echo de menos u quiero reunirnos todas pronto",Ceel,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['patatas'],538.0,49.5,34.9,6.5,0.0,4.0,['Vegetales'],,Neutral
2,2,2,2,2,2,2019-04-19 19:22:03.000,1.1193202718302904e+18,1.1193202718302904e+18,es,"{'id': 'c5ceb8ab41173b63', 'url': 'https://api.twitter.com/1.1/geo/id/c5ceb8ab41173b63.json', 'place_type': 'city', 'name': 'Camprovín', 'full_name': 'Camprovín, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.771789, 42.330163], [-2.771789, 42.37922], [-2.6762230000000002, 42.37922], [-2.6762230000000002, 42.330163]]]}, 'attributes': {}}",La canela se convierte en estos días de #torrijas en protagonista indiscutible. ¿Pero sabias que es uno de los ingr… https://t.co/s0fthcBPEo,Carmen,España,Camprovín,"(-2.771789, 42.330163)",La Rioja,yes,"['canela', 'torrija', 'torrijas']",845.0,117.21,35.2,14.02,176.0,56.3,"['Hierbas y especias', 'Cereales y derivados', 'Cereales y derivados']",female,Neutral
3,3,3,3,3,3,2019-04-19 19:22:40.000,1.119320426100986e+18,1.119320426100986e+18,es,"{'id': '715325aceccc7851', 'url': 'https://api.twitter.com/1.1/geo/id/715325aceccc7851.json', 'place_type': 'city', 'name': 'Sabadell', 'full_name': 'Sabadell, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.046492, 41.506472], [2.046492, 41.591238], [2.150242, 41.591238], [2.150242, 41.506472]]]}, 'attributes': {}}",El outfit se bajar al moro a por una pizza https://t.co/tLBgmbqavk,Kishibe,España,Sabadell,"(2.046492, 41.506472)",Cataluña,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],,Neutral
4,4,4,4,4,5,2019-04-19 19:25:43.000,1.1193211963262076e+18,1.1193211963262076e+18,es,"{'id': 'f33076431b70b3a3', 'url': 'https://api.twitter.com/1.1/geo/id/f33076431b70b3a3.json', 'place_type': 'city', 'name': 'Osuna', 'full_name': 'Osuna, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.274768, 37.080994], [-5.274768, 37.39277], [-4.965451, 37.39277], [-4.965451, 37.080994]]]}, 'attributes': {}}",@Biripendiado1 @RafaRomeroF Lo peor de esto es que ahora quiero carne mechá https://t.co/1ABN0l8Gzr,Inma,España,Osuna,"(-5.274768, 37.080994)",Andalucía,yes,"['carne', 'Romero']",425.75,46.4,23.2,27.1,66.7,24.1,"['Carnes', 'Hierbas y especias']",female,Neutral
5,5,5,5,5,6,2019-04-19 19:25:47.000,1.11932120997453e+18,1.11932120997453e+18,es,"{'id': 'db3ae73fb88e93d8', 'url': 'https://api.twitter.com/1.1/geo/id/db3ae73fb88e93d8.json', 'place_type': 'city', 'name': 'Marbella', 'full_name': 'Marbella, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.014957, 36.459841], [-5.014957, 36.555149], [-4.730868, 36.555149], [-4.730868, 36.459841]]]}, 'attributes': {}}","""Josanguz vaya marca de agua chaval como te pasas""",Josanguz,España,Marbella,"(-5.014957, 36.459841)",Andalucía,yes,['pasas'],297.0,69.3,0.5,2.46,0.0,6.5,['Frutas'],,Neutral
6,6,6,6,9,10,2019-04-19 19:28:27.000,1.1193218846240768e+18,1.1193218846240768e+18,es,"{'id': '3afc29d1fe76301f', 'url': 'https://api.twitter.com/1.1/geo/id/3afc29d1fe76301f.json', 'place_type': 'city', 'name': 'Zaragoza', 'full_name': 'Zaragoza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.174093, 41.451835], [-1.174093, 41.931438], [-0.680572, 41.931438], [-0.680572, 41.451835]]]}, 'attributes': {}}",@chifaentiffanys Mi mamá saliendo a las 4am para hacer cola para arroz azucar o leche y regresaba a las 6am para le… https://t.co/x9brtE3uY8,Carmen,España,Zaragoza,"(-1.174093, 41.451835)",Aragón,yes,"['arroz', 'leche']",452.0,176.7,4.7,10.06,14.0,0.2,"['Cereales y derivados', 'Productos lacteos']",female,Positive
7,7,7,7,10,11,2019-04-19 19:29:08.000,1.1193220531596576e+18,1.1193220531596576e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Mi hermano me ha comprado chocolate y me ha pedido cena porque ES ♥️,Victoria,Spain,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,['Dulces'],female,Positive
8,8,8,8,11,12,2019-04-19 19:29:58.000,1.1193222636466136e+18,1.1193222636466136e+18,es,"{'id': '2afe3164f39d1b83', 'url': 'https://api.twitter.com/1.1/geo/id/2afe3164f39d1b83.json', 'place_type': 'city', 'name': 'Valladolid', 'full_name': 'Valladolid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.928146, 41.523108], [-4.928146, 41.815553], [-4.630882, 41.815553], [-4.630882, 41.523108]]]}, 'attributes': {}}","@AlvarSalvador10 Han bajado los brazos y estamos en segunda,estamos como pollo sin cabeza,gracias sergio.",Aupa,España,Valladolid,"(-4.928146, 41.523108)",Castilla y León,yes,['pollo'],166.0,0.0,9.6,19.9,99.0,0.0,['Productos avicolas'],,Neutral
9,9,9,9,12,13,2019-04-19 19:33:44.000,1.1193232105946194e+18,1.1193232105946194e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}",Tomate pelado con ventresta y alcachofas #food #tomate #ventresca #atun #alcachofa #tomato #tuna #artichokes casaca… https://t.co/J26r12ORrJ,photholic,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,['alcachofas'],18.0,1.2,0.16,2.9,0.0,9.4,['Vegetales'],,Neutral
