,coordinates,created_at,geo,id,id_str,lang,place,text,user,Country,City,Coordinates
0,,2019-04-12 08:44:47.000,,1.1166231835896914e+18,1.1166231835896914e+18,es,"{'id': '285f44d443b12ff9', 'url': 'https://api.twitter.com/1.1/geo/id/285f44d443b12ff9.json', 'place_type': 'city', 'name': 'Aguilar de Campoo', 'full_name': 'Aguilar de Campoo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.431082, 42.688132], [-4.431082, 42.904236], [-4.125326, 42.904236], [-4.125326, 42.688132]]]}, 'attributes': {}}","@DaniRemigio Pero que dice este? De donde se ha caído? Primero dice que batman, el multimillonario es de izquierdas… https://t.co/7VIpMxoiho","{'id': 1948078519, 'id_str': '1948078519', 'name': 'ian larry´s', 'screen_name': 'larrys_80', 'location': 'Aguilar de Campoo, España', 'url': 'http://instagram.com/larrys_80', 'description': 'chico de 1,85; guapo, rubio y de ojos azules, si buscais eso, entonces habeis entrado en un perfil equivocado. 🇪🇸 En mi corazón.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 915, 'friends_count': 991, 'listed_count': 0, 'favourites_count': 72, 'statuses_count': 14680, 'created_at': 'Tue Oct 08 22:35:06 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1114315989523599366/To9a1NlT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1114315989523599366/To9a1NlT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1948078519/1411382139', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Aguilar de Campoo,"(-4.431082, 42.688132)"
1,,2019-04-12 08:45:58.000,,1.116623479451734e+18,1.116623479451734e+18,es,"{'id': '80c47ac47b13120a', 'url': 'https://api.twitter.com/1.1/geo/id/80c47ac47b13120a.json', 'place_type': 'city', 'name': 'Leitza', 'full_name': 'Leitza, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-1.948976, 43.050484], [-1.948976, 43.165995], [-1.845237, 43.165995], [-1.845237, 43.050484]]]}, 'attributes': {}}","Ostras que bueno, así me siento yo en tuiter todos los días, muy bueno el tuit y la conversación brutal.","{'id': 769325430763552768, 'id_str': '769325430763552768', 'name': 'Iparra', 'screen_name': 'Miriamiparragi1', 'location': 'Nire aitaren etxea, Nafarroan ', 'url': None, 'description': 'Las cosas no son como son, son como somos.\nIkasten ari gara izaten.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 745, 'friends_count': 1205, 'listed_count': 3, 'favourites_count': 67557, 'statuses_count': 15173, 'created_at': 'Sat Aug 27 00:07:30 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1116097478468755457/TuHCcHe__normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1116097478468755457/TuHCcHe__normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/769325430763552768/1542111433', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Leitza,"(-1.948976, 43.050484)"
2,,2019-04-12 08:46:18.000,,1.1166235641054044e+18,1.1166235641054044e+18,es,"{'id': '9e46ba68f798b53c', 'url': 'https://api.twitter.com/1.1/geo/id/9e46ba68f798b53c.json', 'place_type': 'city', 'name': 'Sant Joan Despí', 'full_name': 'Sant Joan Despí, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.035787, 41.347441], [2.035787, 41.379404], [2.078992, 41.379404], [2.078992, 41.347441]]]}, 'attributes': {}}","Hoy le toca el turno a un gran amigo y mejor persona, un crack, el futuro alcalde de El Prat, porque lo vale y porq… https://t.co/SWzhA2JOC1","{'id': 254579231, 'id_str': '254579231', 'name': 'José Luis Cerro', 'screen_name': 'JosepLuisCerro', 'location': 'Sant Joan Despí', 'url': None, 'description': 'Portavoz del Grupo Municipal de Cs en Sant Joan Despí.\nConseller Comarcal Cs en Baix Llobregat.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 4188, 'friends_count': 4966, 'listed_count': 78, 'favourites_count': 16033, 'statuses_count': 51391, 'created_at': 'Sat Feb 19 15:28:21 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FF6900', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_link_color': 'FF6900', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1115623654170288128/sQ6uVoKb_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1115623654170288128/sQ6uVoKb_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/254579231/1451828411', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Sant Joan Despí,"(2.035787, 41.347441)"
3,"{'type': 'Point', 'coordinates': [-61.31573, 15.8828]}",2019-04-12 08:46:25.000,"{'type': 'Point', 'coordinates': [15.8828, -61.31573]}",1.1166235955752388e+18,1.1166235955752388e+18,es,"{'id': '4e9baf84e2232342', 'url': 'https://api.twitter.com/1.1/geo/id/4e9baf84e2232342.json', 'place_type': 'country', 'name': 'Guadeloupe', 'full_name': 'Guadeloupe', 'country_code': 'GP', 'country': 'Guadeloupe', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-61.809833, 15.832017], [-61.809833, 16.514491], [-61.001953, 16.514491], [-61.001953, 15.832017]]]}, 'attributes': {}}","Destinos para tu Luna de miel
Marie-Galante ~ Guadeloupe

📷 @yalcibiade @SyneraViatges #syneraviatges… https://t.co/2EdT1MVd7U","{'id': 704704207, 'id_str': '704704207', 'name': 'Synera Viatges', 'screen_name': 'SyneraViatges', 'location': 'Telf. +34 · 935 824 404', 'url': 'http://www.syneraviatges.com', 'description': '“Somos asesores que escuchamos con detenimiento a nuestros clientes, para poder realizar lo que nos pide, tratándolo como si fuera el único.”  Giorgio Armani', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 3126, 'friends_count': 2920, 'listed_count': 67, 'favourites_count': 3044, 'statuses_count': 22423, 'created_at': 'Thu Jul 19 09:09:43 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'ca', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_link_color': '4A913C', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/657898385501003776/6V8M2xaG_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/657898385501003776/6V8M2xaG_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/704704207/1460468824', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Guadeloupe,Guadeloupe,"(-61.809833, 15.832017)"
4,,2019-04-12 08:46:34.000,,1.1166236344774e+18,1.1166236344774e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}","🎓 MBA
 Los perfiles junior de nuestro #MBA finalizan el módulo de #SalidasProfesionales con el docente Miguel Ángel… https://t.co/9vDo3MFWM2","{'id': 131315192, 'id_str': '131315192', 'name': 'ESESA IMF', 'screen_name': 'EscuelaESESA', 'location': 'Andalucía, Spain', 'url': 'http://www.esesa.eu', 'description': 'En ESESA IMF creemos que un Máster es mucho más que un título y nos implicamos día a día para que tu paso por la escuela se convierta en una experiencia única.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 5248, 'friends_count': 3044, 'listed_count': 216, 'favourites_count': 2850, 'statuses_count': 14313, 'created_at': 'Fri Apr 09 22:48:24 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1054804020542558209/sMg1SK8w_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1054804020542558209/sMg1SK8w_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/131315192/1418232506', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Málaga,"(-4.587928, 36.635585)"
5,"{'type': 'Point', 'coordinates': [-0.34871989999999997, 39.47634]}",2019-04-12 08:48:31.000,"{'type': 'Point', 'coordinates': [39.47634, -0.34871989999999997]}",1.1166241243594792e+18,1.1166241243594792e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}","#chilaquiles #beersandburros 
Base de #nachos
Bañados en #tingapoblana (receta de la abuela)
#salsaroja por una lad… https://t.co/HmxPBPG927","{'id': 1155399450, 'id_str': '1155399450', 'name': 'beersandburros', 'screen_name': 'beersandburros', 'location': 'Valencia', 'url': 'http://www.beersandburros.com', 'description': 'Restaurante Mexicano especializado en Burritos Gourmet', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 277, 'friends_count': 865, 'listed_count': 10, 'favourites_count': 92, 'statuses_count': 1464, 'created_at': 'Wed Feb 06 23:31:56 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3239101235/1195649818b53895829e952699b14cf3_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3239101235/1195649818b53895829e952699b14cf3_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1155399450/1502958612', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Valencia,"(-0.43254499999999996, 39.278381)"
6,,2019-04-12 08:48:47.000,,1.116624191573254e+18,1.116624191573254e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}","Cada vez que salga un anuncio de fitness en IG, ¡TROZO DE PIZZA!","{'id': 532283996, 'id_str': '532283996', 'name': 'Nymeria', 'screen_name': 'ItsSalvaBTW', 'location': 'Málaga', 'url': 'http://instagram.com/itssalvabtw', 'description': '21. Videojuegos, series, música, cine, fotografía, pingüino barbudo, efusivo y... ¿Estela? Estudio artes y necesito cafeína en mis venas, con eso tiráis.', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 2942, 'friends_count': 1191, 'listed_count': 36, 'favourites_count': 18220, 'statuses_count': 68721, 'created_at': 'Wed Mar 21 14:46:43 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'FAB81E', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_link_color': 'FF691F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '171106', 'profile_text_color': '8A7302', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1115145924198785032/x8FkV6Ny_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1115145924198785032/x8FkV6Ny_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/532283996/1554732141', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Málaga,"(-4.587928, 36.635585)"
7,"{'type': 'Point', 'coordinates': [-66.9136, 10.5056]}",2019-04-12 08:49:29.000,"{'type': 'Point', 'coordinates': [10.5056, -66.9136]}",1.1166243645924352e+18,1.1166243645924352e+18,es,"{'id': '00ec4c32070f5076', 'url': 'https://api.twitter.com/1.1/geo/id/00ec4c32070f5076.json', 'place_type': 'city', 'name': 'Caracas', 'full_name': 'Caracas, Venezuela', 'country_code': 'VE', 'country': 'Venezuela', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-66.998581, 10.440464], [-66.998581, 10.526614], [-66.862707, 10.526614], [-66.862707, 10.440464]]]}, 'attributes': {}}","Tu eres un panal de #dulces
#Fruta #fresca
Tu tienes una #mirada demasia'o #pintoresca
Una mirada #color #infinito… https://t.co/m3e7IVAwYF","{'id': 109155677, 'id_str': '109155677', 'name': 'RODOLFO  TROYA', 'screen_name': 'TROYA1919', 'location': 'ÜT: 10.336367,-67.043564', 'url': None, 'description': 'CARACAS, 19 DE SEPTIEMBRE DE 1983', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 421, 'friends_count': 1096, 'listed_count': 2, 'favourites_count': 23, 'statuses_count': 1320, 'created_at': 'Thu Jan 28 04:00:41 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/628038726581678080/YErwf2lK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/628038726581678080/YErwf2lK_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/109155677/1364260358', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Venezuela,Caracas,"(-66.998581, 10.440464)"
8,,2019-04-12 08:49:37.000,,1.1166243988808868e+18,1.1166243988808868e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}",@CarlosJoelAP Pídeme un zumo de naranja 🍊,"{'id': 341190854, 'id_str': '341190854', 'name': 'Peter Champs', 'screen_name': 'PedroCCecilia', 'location': 'En el mundo', 'url': 'https://www.instagram.com/peterchampsc/', 'description': 'Un ir y venir de la vida. Todo lo que viene va. Quién quiera saber que pregunte. RRLL y RRHH #Apple #Jaén #Granada #World #Gaga 🖤♐️', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 393, 'friends_count': 519, 'listed_count': 3, 'favourites_count': 17881, 'statuses_count': 7180, 'created_at': 'Sat Jul 23 23:39:45 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '19CF86', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1079484023171362822/nvq5byJP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1079484023171362822/nvq5byJP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/341190854/1546204023', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Granada,"(-3.699796, 37.135903)"
9,,2019-04-12 08:49:43.000,,1.1166244252714556e+18,1.1166244252714556e+18,es,"{'id': '547fe91108bd744c', 'url': 'https://api.twitter.com/1.1/geo/id/547fe91108bd744c.json', 'place_type': 'city', 'name': 'San Juan', 'full_name': 'San Juan, USA', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-66.125093, 18.29645], [-66.125093, 18.471881], [-65.991643, 18.471881], [-65.991643, 18.29645]]]}, 'attributes': {}}","Yo soy el tipo de persona que iría a exposiciones de arte solo para probar el vino gratis, si es por el arte mejor ni salgo.","{'id': 2955055737, 'id_str': '2955055737', 'name': '🗞', 'screen_name': 'degussman', 'location': 'santurce ', 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 609, 'friends_count': 311, 'listed_count': 2, 'favourites_count': 52378, 'statuses_count': 3697, 'created_at': 'Thu Jan 01 16:52:13 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1107379281909432321/oOmzZ2dl_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1107379281909432321/oOmzZ2dl_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2955055737/1553913442', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",United States,San Juan,"(-66.125093, 18.29645)"
