,Unnamed: 0,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood
1,1,2019-04-09 00:02:23.000,1.1154045556621108e+18,1.1154045556621108e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@MartaIndignada @fbenavid Y si nos dejáis pagar con sacos de arroz...contrataremos a cientos por cada empresario...… https://t.co/0VrSl8CobW,"{'id': 270550623, 'id_str': '270550623', 'name': 'QUINTOPODER', 'screen_name': 'REDOPOTNIUQ', 'location': 'Madrid y ratos en Barcelona', 'url': 'http://ke-aguafresca.blogspot.com', 'description': 'Naci amasado por los sueños de libertad, solidaridad y fraternidad de 2 comunistas.\nMe enseñaron que el mundo será un lugar maravilloso...para eso REVOLUCIÓN', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 528, 'friends_count': 1490, 'listed_count': 5, 'favourites_count': 1001, 'statuses_count': 6909, 'created_at': 'Tue Mar 22 20:42:46 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1091038716741734400/vTt2bEYs_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1091038716741734400/vTt2bEYs_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/270550623/1528330263', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid,yes
6,6,2019-04-09 00:12:50.000,1.1154071816822292e+18,1.1154071816822292e+18,es,"{'id': 'c6b7997762da90a9', 'url': 'https://api.twitter.com/1.1/geo/id/c6b7997762da90a9.json', 'place_type': 'city', 'name': 'Mollet del Vallès', 'full_name': 'Mollet del Vallès, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.18804, 41.524029], [2.18804, 41.576025], [2.233619, 41.576025], [2.233619, 41.524029]]]}, 'attributes': {}}",@mariaalejandrL9 Ajo y tú vas a clase Jajajaja,"{'id': 1583618678, 'id_str': '1583618678', 'name': 'Diomedes', 'screen_name': 'iserdice', 'location': 'De quillita a barcelona', 'url': 'https://youtu.be/cWQ1h5TYVO0', 'description': '¡Porque te lo dice!', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1838, 'friends_count': 531, 'listed_count': 5, 'favourites_count': 41454, 'statuses_count': 80531, 'created_at': 'Wed Jul 10 17:28:11 +0000 2013', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F75959', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1113516837336231942/w75KsVfv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1113516837336231942/w75KsVfv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1583618678/1551545447', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Mollet del Vallès,"(2.18804, 41.524029)",Cataluña,yes
9,9,2019-04-09 00:14:26.000,1.1154075870617108e+18,1.1154075870617108e+18,es,"{'id': '2afe3164f39d1b83', 'url': 'https://api.twitter.com/1.1/geo/id/2afe3164f39d1b83.json', 'place_type': 'city', 'name': 'Valladolid', 'full_name': 'Valladolid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.928146, 41.523108], [-4.928146, 41.815553], [-4.630882, 41.815553], [-4.630882, 41.523108]]]}, 'attributes': {}}","@drmiguelmarcos @TwitterEspana @JulioBasulto_DN Sí,  es que adoro el riesgo y por eso me gusta la cerveza ISO 0.0!!😂😂😂😂😂","{'id': 263906729, 'id_str': '263906729', 'name': 'Raquel Blasco', 'screen_name': 'RaquelBlascoR', 'location': 'Valladolid España ', 'url': 'http://raquelblascor.wordpress.com/', 'description': 'Dra en Medicina.Internista de profesión y vocación en el mundo del deporte. Profª Ciencias de Salud. Ahora en @ICOMVALLADOLID #LuchaAntidopaje #SaludSinBulos', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 19319, 'friends_count': 801, 'listed_count': 530, 'favourites_count': 15206, 'statuses_count': 70318, 'created_at': 'Thu Mar 10 23:53:14 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1053595478200324097/7xx07jmE_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1053595478200324097/7xx07jmE_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/263906729/1372982661', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Valladolid,"(-4.928146, 41.523108)",Castilla y León,yes
10,10,2019-04-09 00:15:32.000,1.1154078641668548e+18,1.1154078641668548e+18,es,"{'id': 'c7884399e24c3aba', 'url': 'https://api.twitter.com/1.1/geo/id/c7884399e24c3aba.json', 'place_type': 'city', 'name': 'Puerto del Rosario', 'full_name': 'Puerto del Rosario, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-14.0903, 28.420066], [-14.0903, 28.577964], [-13.824156, 28.577964], [-13.824156, 28.420066]]]}, 'attributes': {}}",Horas bajas y cerveza fría🌸,"{'id': 846377389676486657, 'id_str': '846377389676486657', 'name': 'Røse🌹', 'screen_name': 'lasandunperra', 'location': 'Uruguay - Canarias', 'url': None, 'description': 'Think twice.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 156, 'friends_count': 228, 'listed_count': 0, 'favourites_count': 7464, 'statuses_count': 7956, 'created_at': 'Mon Mar 27 15:04:29 +0000 2017', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1113347997914607616/d4DOu2RQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1113347997914607616/d4DOu2RQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/846377389676486657/1552598983', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Puerto del Rosario,"(-14.0903, 28.420066)",Islas Canarias,yes
12,12,2019-04-09 00:22:55.000,1.1154097197226884e+18,1.1154097197226884e+18,es,"{'id': '4ecb58704564d392', 'url': 'https://api.twitter.com/1.1/geo/id/4ecb58704564d392.json', 'place_type': 'city', 'name': 'Córdoba', 'full_name': 'Córdoba, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.9970099999999995, 37.664255], [-4.9970099999999995, 38.030946], [-4.351492, 38.030946], [-4.351492, 37.664255]]]}, 'attributes': {}}",@kzxrxm @JuanNuEx A la izquierda un revuelto de patatas y a la derecha una tortilla de patatas como Dios manda.,"{'id': 2616026600, 'id_str': '2616026600', 'name': 'El Padrino', 'screen_name': 'lamadruga', 'location': 'Córdoba, España', 'url': None, 'description': 'Mira si la muerte esta segura en cogerte, que te da toda una vida de ventaja.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 177, 'friends_count': 505, 'listed_count': 3, 'favourites_count': 18880, 'statuses_count': 19930, 'created_at': 'Thu Jul 10 19:31:24 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '19CF86', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': False, 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/879055092405739524/vVyigVr4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/879055092405739524/vVyigVr4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2616026600/1498383148', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Córdoba,"(-4.9970099999999995, 37.664255)",Andalucía,yes
14,14,2019-04-09 00:32:05.000,1.1154120278650144e+18,1.1154120278650144e+18,es,"{'id': 'b08303575ff1d1c7', 'url': 'https://api.twitter.com/1.1/geo/id/b08303575ff1d1c7.json', 'place_type': 'city', 'name': 'Alcalá de Guadaíra', 'full_name': 'Alcalá de Guadaíra, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.944403, 37.187197], [-5.944403, 37.389907], [-5.649078, 37.389907], [-5.649078, 37.187197]]]}, 'attributes': {}}",@AnabelAlonso_of Hahahahha este está mas perdido que el barco de el arroz!!,"{'id': 3047217623, 'id_str': '3047217623', 'name': 'Franxuu', 'screen_name': 'fcarmona88', 'location': 'Sevilla', 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 175, 'friends_count': 111, 'listed_count': 0, 'favourites_count': 702, 'statuses_count': 190, 'created_at': 'Fri Feb 20 16:22:07 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1085546595423346689/0fJljE5O_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1085546595423346689/0fJljE5O_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3047217623/1511183459', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alcalá de Guadaíra,"(-5.944403, 37.187197)",Andalucía,yes
15,15,2019-04-09 00:33:38.000,1.1154124167692698e+18,1.1154124167692698e+18,es,"{'id': '507a015cba6ef518', 'url': 'https://api.twitter.com/1.1/geo/id/507a015cba6ef518.json', 'place_type': 'city', 'name': 'Málaga', 'full_name': 'Málaga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.587928, 36.635585], [-4.587928, 36.894171], [-4.260134, 36.894171], [-4.260134, 36.635585]]]}, 'attributes': {}}",Me meo se me transparentan las bragas de cerezas,"{'id': 256252908, 'id_str': '256252908', 'name': 'Cristina Moreno 💥', 'screen_name': 'CristinaMrn_', 'location': 'Ahillones (Badajoz) - Málaga', 'url': 'http://instagram.com/cristinamrn_', 'description': 'Sigo en mi línea, torcida, pero siempre hacia arriba...⤴                                                                  \n                🎓 Advertising and PR', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 784, 'friends_count': 633, 'listed_count': 3, 'favourites_count': 12179, 'statuses_count': 39083, 'created_at': 'Tue Feb 22 23:56:32 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'E0C3EB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '89C9FA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1075390214913343489/VGxeK7MZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1075390214913343489/VGxeK7MZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/256252908/1537447493', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Málaga,"(-4.587928, 36.635585)",Andalucía,yes
16,16,2019-04-09 00:39:37.000,1.1154139254351462e+18,1.1154139254351462e+18,es,"{'id': '3f5102bbac88f700', 'url': 'https://api.twitter.com/1.1/geo/id/3f5102bbac88f700.json', 'place_type': 'city', 'name': 'Alhaurín de la Torre', 'full_name': 'Alhaurín de la Torre, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.640553, 36.611816], [-4.640553, 36.716195], [-4.5163, 36.716195], [-4.5163, 36.611816]]]}, 'attributes': {}}",@LausGardner Te pasas,"{'id': 477871202, 'id_str': '477871202', 'name': 'Javi The Bandito', 'screen_name': 'vierbarrera15', 'location': 'The First Star', 'url': None, 'description': '||-// | I saw @twentyonepilots live\n16/3/2019', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 420, 'friends_count': 592, 'listed_count': 7, 'favourites_count': 49580, 'statuses_count': 55764, 'created_at': 'Sun Jan 29 17:16:05 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '449955', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1110313786404147201/rOVKj4SZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1110313786404147201/rOVKj4SZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/477871202/1552329347', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alhaurín de la Torre,"(-4.640553, 36.611816)",Andalucía,yes
17,17,2019-04-09 00:49:55.000,1.115416515686359e+18,1.115416515686359e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",@FragataES ¡Con tortilla!,"{'id': 3089900608, 'id_str': '3089900608', 'name': 'Sepharad', 'screen_name': 'sepharad_', 'location': 'Espanya', 'url': None, 'description': 'Divirtiéndome en Twitter Land.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 552, 'friends_count': 4210, 'listed_count': 20, 'favourites_count': 22512, 'statuses_count': 34688, 'created_at': 'Thu Mar 12 20:37:02 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/576120094977232896/GxNGU7sc_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/576120094977232896/GxNGU7sc_normal.jpeg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes
20,20,2019-04-09 01:07:37.000,1.115420970033066e+18,1.115420970033066e+18,es,"{'id': '935d946682cab2e1', 'url': 'https://api.twitter.com/1.1/geo/id/935d946682cab2e1.json', 'place_type': 'city', 'name': 'Huelva', 'full_name': 'Huelva, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.005353, 37.107832], [-7.005353, 37.367499], [-6.832013, 37.367499], [-6.832013, 37.107832]]]}, 'attributes': {}}",Los gatos han metido algún papel con olor a pescado a cambiar las sábanas a las 3 de la mañana,"{'id': 409301821, 'id_str': '409301821', 'name': 'Miss Caffeina -6', 'screen_name': 'Gonspliters', 'location': 'Sevilla - Huelva', 'url': 'https://instagram.com/gonsplitters', 'description': ""Avatar by @erogamy_art  Videojuegos, anhqv y más videojuegos. I'm The OA. L(G)BT"", 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 1156, 'friends_count': 557, 'listed_count': 20, 'favourites_count': 133990, 'statuses_count': 148977, 'created_at': 'Thu Nov 10 15:06:34 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_link_color': 'FC87BA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1108797230549483521/tzzesMDb_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1108797230549483521/tzzesMDb_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/409301821/1553712882', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Huelva,"(-7.005353, 37.107832)",Andalucía,yes
