,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Gender,Categorías
0,0,0,0,0,1,1,2019-04-05 10:19:28.000,1.1141102951552778e+18,1.1141102951552778e+18,es,"{'id': '071a52d3a927a1b8', 'url': 'https://api.twitter.com/1.1/geo/id/071a52d3a927a1b8.json', 'place_type': 'city', 'name': 'Valencia', 'full_name': 'Valencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43254499999999996, 39.278381], [-0.43254499999999996, 39.566588], [-0.272513, 39.566588], [-0.272513, 39.278381]]]}, 'attributes': {}}","#MENÚ #VEGETARIANO #Restaurante La lluna
- Crema de calabaza.
- Ensalada de Quinoa.
- Pastel de setas.
- Tarta de q… https://t.co/k9jgHHLJC0",Restaurantelalluna,España,Valencia,"(-0.43254499999999996, 39.278381)",Comunidad Valenciana,yes,"['Tarta', 'calabaza', 'Crema', 'setas']",618.0,85.10000000000001,26.36,13.100000000000001,221.3,3.8999999999999995,,"['Dulces', 'Vegetales', 'Productos lacteos', 'Vegetales']"
1,1,1,1,1,2,2,2019-04-05 10:20:10.000,1.1141104722346516e+18,1.1141104722346516e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Espectacular #recetas con #alcachofas y almejitas

👩🏻‍🍳 #GastroBlog #Cocina #ComerSano 
https://t.co/wJxAbaNjR3",Amanda,Spain,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['alcachofas'],18.0,1.2,0.16,2.9,0.0,9.4,female,['Vegetales']
2,2,2,2,2,6,6,2019-04-05 10:23:59.000,1.1141114344961228e+18,1.1141114344961228e+18,es,"{'id': '910495785831d06f', 'url': 'https://api.twitter.com/1.1/geo/id/910495785831d06f.json', 'place_type': 'city', 'name': 'Mijas', 'full_name': 'Mijas, Spain', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.7764109999999995, 36.486301], [-4.7764109999999995, 36.625547], [-4.592122, 36.625547], [-4.592122, 36.486301]]]}, 'attributes': {}}","Trifle sin azúcar y sin gluten de frutos secos, fresas y yogur https://t.co/SDEwydkFy6 https://t.co/mVBtJeAvH3",Kati,Spain,Mijas,"(-4.7764109999999995, 36.486301)",Andalucía,yes,"['fresa', 'yogur', 'frutos secos']",703.0,44.75,55.85,22.3,0.0,11.2,female,"['Frutas', 'Productos lacteos', 'Frutos secos']"
3,3,3,3,3,7,7,2019-04-05 10:24:06.000,1.1141114617926042e+18,1.1141114617926042e+18,es,"{'id': '935d946682cab2e1', 'url': 'https://api.twitter.com/1.1/geo/id/935d946682cab2e1.json', 'place_type': 'city', 'name': 'Huelva', 'full_name': 'Huelva, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-7.005353, 37.107832], [-7.005353, 37.367499], [-6.832013, 37.367499], [-6.832013, 37.107832]]]}, 'attributes': {}}",@GabyJoestar Mi cabeza procesó más tarde que tenía que tirar el caldo y luego echar las aceitunas,N,España,Huelva,"(-7.005353, 37.107832)",Andalucía,yes,['aceitunas'],120.0,2.0,12.5,1.3,0.0,4.8,male,['Vegetales']
4,4,4,4,4,10,10,2019-04-05 10:26:28.000,1.1141120589776568e+18,1.1141120589776568e+18,es,"{'id': '088b2b6320f918a9', 'url': 'https://api.twitter.com/1.1/geo/id/088b2b6320f918a9.json', 'place_type': 'city', 'name': 'Collado Villalba', 'full_name': 'Collado Villalba, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.030551, 40.616412], [-4.030551, 40.681259], [-3.947006, 40.681259], [-3.947006, 40.616412]]]}, 'attributes': {}}","Ayer fue #juernes y el ""Equipo Ja"" vino a divertirse en familia a nuestra Escape Room. Gracias a su audacia y agili… https://t.co/oWSmHfVjja",La,España,Collado Villalba,"(-4.030551, 40.616412)",Madrid,yes,['vino'],71.0,0.3,0.0,0.23,0.0,0.0,female,['Bebidas Alcoholicas']
5,5,5,5,5,13,15,2019-04-05 10:29:18.000,1.114112772164522e+18,1.114112772164522e+18,es,"{'id': 'e878b124548a76fe', 'url': 'https://api.twitter.com/1.1/geo/id/e878b124548a76fe.json', 'place_type': 'city', 'name': 'Talavera de la Reina', 'full_name': 'Talavera de la Reina, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.061047, 39.885407], [-5.061047, 40.018957], [-4.643365, 40.018957], [-4.643365, 39.885407]]]}, 'attributes': {}}",me he acordado de que tengo lentejas para comer mi madre jodiendome los viernes macho jope mIRA PÓNMELO UN LUNES QU… https://t.co/kU4TuHtwTz,hachís,España,Talavera de la Reina,"(-5.061047, 39.885407)",Castilla la Mancha,yes,['lentejas'],333.0,54.8,1.7,23.0,0.0,11.2,,['Legumbres']
6,6,6,6,6,14,16,2019-04-05 10:29:42.000,1.1141128704873472e+18,1.1141128704873472e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}","No hay nada como una cena con vino y buena compañía moisesgm8 @vamosyvinos .🍷🍛
.
.
.
.
#winwlover #vino #cena… https://t.co/xGeAIB5ozG",Paula,España,Granada,"(-3.699796, 37.135903)",Andalucía,yes,['vino'],71.0,0.3,0.0,0.23,0.0,0.0,female,['Bebidas Alcoholicas']
7,7,7,7,7,15,17,2019-04-05 10:29:59.000,1.1141129439337882e+18,1.1141129439337882e+18,es,"{'id': 'e457f5fd54fdd348', 'url': 'https://api.twitter.com/1.1/geo/id/e457f5fd54fdd348.json', 'place_type': 'city', 'name': 'Tocina', 'full_name': 'Tocina, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.755364, 37.58927], [-5.755364, 37.633324], [-5.705153, 37.633324], [-5.705153, 37.58927]]]}, 'attributes': {}}","Esta semana fin de semana gastronómico de la naranja, presentamos: 
Saquitos de queso y salsa de naranja con saltea… https://t.co/f4QXbGdSog",Asador,España,Tocina,"(-5.755364, 37.58927)",Andalucía,yes,"['queso', 'salsa', 'naranja']",625.455,27.229999999999997,50.04,41.300000000000004,92.46000000000001,5.14,,"['Productos lacteos', 'Sopas', 'Frutas']"
8,8,8,8,8,16,18,2019-04-05 10:30:01.000,1.114112949503787e+18,1.114112949503787e+18,es,"{'id': 'e878b124548a76fe', 'url': 'https://api.twitter.com/1.1/geo/id/e878b124548a76fe.json', 'place_type': 'city', 'name': 'Talavera de la Reina', 'full_name': 'Talavera de la Reina, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.061047, 39.885407], [-5.061047, 40.018957], [-4.643365, 40.018957], [-4.643365, 39.885407]]]}, 'attributes': {}}",odio las lentejas pero les echo 5 kilos de vinagre y se me pasa un poco,hachís,España,Talavera de la Reina,"(-5.061047, 39.885407)",Castilla la Mancha,yes,"['vinagre', 'lentejas']",337.0,55.4,1.7,23.4,0.0,11.2,,"['Salsas', 'Legumbres']"
9,9,9,9,9,17,19,2019-04-05 10:30:51.000,1.1141131617147044e+18,1.1141131617147044e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Lo peor con este clima es que solo dan ganas de estar tomando hot chocolate acompañado de pastries😭,Paola,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,female,['Dulces']
10,10,10,10,10,18,20,2019-04-05 10:31:34.000,1.1141133411847292e+18,1.1141133411847292e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Nuestra ""LASAÑA ESPECIAL"" HOY en Orsomatto 😉 ""LASAÑA DE BRÓCOLI CON SUPREMA DE BOLOÑA Y QUESO EMMENTAL"" 🥦🧀... No te… https://t.co/9dKybvALFR",Orso,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['QUESO', 'MENTA', 'BRÓCOLI']",520.0,8.209999999999999,35.129999999999995,42.57,74.4,9.8,male,"['Productos lacteos', 'Hierbas y especias', 'Vegetales']"
