,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías
0,0,0,0,2019-04-14 00:00:09.000,1.1172159318082191e+18,1.1172159318082191e+18,es,"{'id': '0df6ac4d361d4e0e', 'url': 'https://api.twitter.com/1.1/geo/id/0df6ac4d361d4e0e.json', 'place_type': 'city', 'name': 'Vigo', 'full_name': 'Vigo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.916355, 42.12938], [-8.916355, 42.264735], [-8.626759, 42.264735], [-8.626759, 42.12938]]]}, 'attributes': {}}",A este pavo lo vi yo de fiesta en Blaster EN BLASTER Y LO TUVE AL LADO,Car,España,Vigo,"(-8.916355, 42.12938)",Galicia,yes,['pavo'],119.0,0.0,2.86,21.77,65.0,0.0,['Productos avicolas']
1,1,1,1,2019-04-14 00:02:10.000,1.1172164366429144e+18,1.1172164366429144e+18,es,"{'id': '1a27537478dd8e38', 'url': 'https://api.twitter.com/1.1/geo/id/1a27537478dd8e38.json', 'place_type': 'city', 'name': 'Barcelona', 'full_name': 'Barcelona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]}, 'attributes': {}}","Metro DISCO Pase VIP pídelo por whatsapp: +34690782212 
Facebook: josegamboarrpp(agrégame)

Domingo de carne en Met… https://t.co/69j147YyVo",José,España,Barcelona,"(2.052477, 41.317048)",Cataluña,yes,['carne'],80.75,0.0,8.0,22.1,66.7,0.0,['Carnes']
2,2,2,2,2019-04-14 00:03:34.000,1.117216791535784e+18,1.117216791535784e+18,es,"{'id': '00ab08eef1b62e92', 'url': 'https://api.twitter.com/1.1/geo/id/00ab08eef1b62e92.json', 'place_type': 'city', 'name': 'Las Palmas de Gran Canaria', 'full_name': 'Las Palmas de Gran Canaria, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-15.525504, 28.024813], [-15.525504, 28.181213], [-15.394194, 28.181213], [-15.394194, 28.024813]]]}, 'attributes': {}}",¿Por qué hay plátano en una pizza? Qué pasa? POLICÍA!!!,,España,Las Palmas de Gran Canaria,"(-15.525504, 28.024813)",Islas Canarias,yes,"['pizza', 'plátano']",566.0,62.2,10.1,9.4,16.0,5.1,"['Comida rapida', 'Frutas']"
3,3,3,3,2019-04-14 00:07:04.000,1.1172176722893128e+18,1.1172176722893128e+18,es,"{'id': 'c8256964da571001', 'url': 'https://api.twitter.com/1.1/geo/id/c8256964da571001.json', 'place_type': 'city', 'name': 'Tomelloso', 'full_name': 'Tomelloso, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.058134, 39.090079], [-3.058134, 39.350577], [-2.874078, 39.350577], [-2.874078, 39.090079]]]}, 'attributes': {}}",No me acordaba de este pavo y que hace por mi TL? PREGUNTO,LaPili,España,Tomelloso,"(-3.058134, 39.090079)",Castilla la Mancha,yes,['pavo'],119.0,0.0,2.86,21.77,65.0,0.0,['Productos avicolas']
4,4,7,7,2019-04-14 00:11:11.000,1.1172187093644576e+18,1.1172187093644576e+18,es,"{'id': '3a9c654a445000f6', 'url': 'https://api.twitter.com/1.1/geo/id/3a9c654a445000f6.json', 'place_type': 'city', 'name': 'Getafe', 'full_name': 'Getafe, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.761318, 40.266415], [-3.761318, 40.334686], [-3.570016, 40.334686], [-3.570016, 40.266415]]]}, 'attributes': {}}",@miguelrb508 @chukofpicks @Pablo_Iglesias_ Cuanto gazpacho se pincha le gente!!!!!,O,España,Getafe,"(-3.761318, 40.266415)",Madrid,yes,['gazpacho'],34.0,1.6,2.8,0.6,0.0,0.2,['Sopas']
5,5,10,11,2019-04-14 00:24:44.000,1.1172221181592004e+18,1.1172221181592004e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Solo 3 personas de toda mi vida saben que guardo galletas en mis bolsillos, una de ellas murió el año pasado 🦋, aho… https://t.co/DnSZE4c1Os",Josue,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['galletas'],483.0,64.31,21.77,6.76,50.17,3.21,['Dulces']
6,6,12,13,2019-04-14 00:32:17.000,1.1172240197392508e+18,1.1172240197392508e+18,es,"{'id': '0df6ac4d361d4e0e', 'url': 'https://api.twitter.com/1.1/geo/id/0df6ac4d361d4e0e.json', 'place_type': 'city', 'name': 'Vigo', 'full_name': 'Vigo, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-8.916355, 42.12938], [-8.916355, 42.264735], [-8.626759, 42.264735], [-8.626759, 42.12938]]]}, 'attributes': {}}","@AnyiColomer @Dragon_Ball_B_R No,son palomitas y aros de maiz",Demoncrowley,España,Vigo,"(-8.916355, 42.12938)",Galicia,yes,['maiz'],392.0,85.6,0.96,8.4,0.0,85.5,['Cereales y derivados']
7,7,13,14,2019-04-14 00:34:18.000,1.1172245257233284e+18,1.1172245257233284e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@Montoyajulian1 Rica  leche,Fernando,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos']
8,8,14,15,2019-04-14 00:36:01.000,1.1172249593387418e+18,1.1172249593387418e+18,es,"{'id': 'c52827ebd9bfe563', 'url': 'https://api.twitter.com/1.1/geo/id/c52827ebd9bfe563.json', 'place_type': 'city', 'name': 'Jerez de la Frontera', 'full_name': 'Jerez de la Frontera, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.306111, 36.516968], [-6.306111, 36.864413], [-5.455137, 36.864413], [-5.455137, 36.516968]]]}, 'attributes': {}}",La cerveza de Miguel es como algunas personas de mente fría y del cuerpo caliente,MAD,España,Jerez de la Frontera,"(-6.306111, 36.516968)",Andalucía,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas']
9,9,15,16,2019-04-14 00:40:25.000,1.1172260650957906e+18,1.1172260650957906e+18,es,"{'id': '61fe09dfbe90f684', 'url': 'https://api.twitter.com/1.1/geo/id/61fe09dfbe90f684.json', 'place_type': 'city', 'name': 'Laguna de Duero', 'full_name': 'Laguna de Duero, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.773909, 41.548229], [-4.773909, 41.596796], [-4.669629, 41.596796], [-4.669629, 41.548229]]]}, 'attributes': {}}","Siempre bebemos mas cerveza de la que podemos tragar.
Menuda puta borrachera.",Bea,España,Laguna de Duero,"(-4.773909, 41.548229)",Castilla y León,yes,['cerveza'],42.0,3.12,0.0,0.5,0.0,0.0,['Bebidas Alcoholicas']
